INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY
25,26,VAST_1033-06A,11133,0,11106,IMAGED,10 33 06,-06 17 59,158.275,-6.299722222222222,252.77565743352207,42.70774682621098,-45.0,5085398805.037438,726.5894398968505,726.5894400000001,36,5087903275.3,136531771,13.535474372074873,10.832424501143842,71.3125354584574,-0.010432451032102108,1.5255823135375977,276.32366943359375,265.4147546939335,69.68583162959122,187.60519409179688,769.4790649414062,5087911082.0,5604
26,27,VAST_1057+00A,11134,0,11106,IMAGED,10 57 56,+00 00 00,164.48333333333332,0.0,253.10178847480458,51.54095311911623,-45.0,5085399571.439999,726.5894398968505,726.5894400000001,36,5087903328.511,136494480,14.45653136685467,11.223312423032699,77.1851205931764,-0.024617692455649376,4.2210822105407715,362.09307861328125,351.00429221616724,86.63088627940516,245.8265838623047,1281.755859375,5087911236.0,4966
27,28,VAST_0943-06A,11135,0,11106,IMAGED,09 43 27,-06 17 59,145.86249999999998,-6.299722222222222,242.16351836689466,33.594009162109806,-45.0,5085400347.795838,726.5894398968505,726.5894400000001,36,5087903371.427,136485809,13.836172545233351,10.80196988366124,73.4572480950093,-0.011927865445613861,3.621422529220581,266.55743408203125,255.39819470984895,72.74095421288857,170.40541076660156,1240.505126953125,5087911211.0,5789
28,29,VAST_1122+00A,11136,0,11106,IMAGED,11 22 46,+00 00 00,170.69166666666666,0.0,261.1500409951245,55.507726418406804,-45.0,5085401134.104959,726.5894398968505,726.5894400000001,36,5088042972.184999,136496182,13.509230624615125,12.188331260104247,54.6503443160449,-0.11514584720134735,2.0737149715423584,619.8076171875,570.1987192307929,649.4178322662232,283.37481689453125,11866.4921875,5088052633.0,2274
29,30,VAST_1122-06A,11137,0,11106,IMAGED,11 22 46,-06 17 59,170.69166666666666,-6.299722222222222,266.99440555500905,50.2812728098549,-45.0,5085401910.460798,716.636159447937,716.6361600000001,36,5087903502.724,136537403,13.515108504194412,10.833379414428672,71.1916138248778,-0.02606849931180477,3.169687271118164,274.10784912109375,264.1562897511857,78.8900404352769,181.4903564453125,1176.8514404296875,5087911216.0,5822
30,31,VAST_1147+00A,11138,0,11106,IMAGED,11 47 35,+00 00 00,176.89583333333331,0.0,270.8300579392716,58.833492034091115,-45.0,5085402666.910078,726.5894398968505,726.5894400000001,36,5087903529.212,136488160,14.425023575581813,11.205364868674092,77.0072591288103,-0.015739526599645615,3.6805598735809326,336.29571533203125,326.0694367525387,98.43829194370788,222.6436004638672,1524.6690673828125,5087911255.0,5375
31,32,VAST_1147-06A,11139,0,11106,IMAGED,11 47 35,-06 17 59,176.89583333333331,-6.299722222222222,275.7973021095894,53.17453882194456,-45.0,5085403433.312638,726.5894398968505,726.5894400000001,36,5087903556.450001,136509733,13.499219806499736,10.811219980466808,71.0744574678428,-0.010566173121333122,1.2862598896026611,273.06671142578125,261.193996979355,69.39295378723986,185.00755310058594,721.7646484375,5087911372.0,5860
32,33,VAST_1212+00A,11140,0,11106,IMAGED,12 12 25,+00 00 00,183.10416666666663,0.0,282.27317574611357,61.296778095118505,-45.0,5085404209.668479,716.636159447937,716.6361600000001,36,5087903595.1,136517909,14.404941329132953,11.189937333756959,76.9775211897913,-0.09098203480243683,1.4558261632919312,312.8128662109375,282.0212014456697,140.20759929247666,194.77691650390625,1745.7335205078125,5087911485.0,5147
33,34,VAST_1212-06A,11141,0,11106,IMAGED,12 12 25,-06 17 59,183.10416666666663,-6.299722222222222,285.7398075341382,55.26416095890342,-45.0,5085404986.024319,716.636159447937,716.6361600000001,36,5087903629.111,136541462,13.493164670638055,10.81854471736512,71.083169426314,-0.02409890666604042,1.4098713397979736,272.9090576171875,260.18898951712544,76.46256199829794,181.82798767089844,856.1629028320312,5087911644.0,5852
34,35,VAST_1237+00A,11142,0,11106,IMAGED,12 37 14,+00 00 00,189.30833333333334,0.0,295.1816814725589,62.65780309749948,-45.0,5085405752.426878,716.6361604016113,716.6361600000001,36,5087903670.68,136446196,14.389093061978398,11.189270580035975,76.9517743093757,-0.19783180952072144,41.50534439086914,499.4571533203125,389.52626574448254,1592.7624510912285,231.1272430419922,104251.1875,5087911616.0,3765
35,36,VAST_1237-06A,11143,0,11106,IMAGED,12 37 14,-06 17 59,189.30833333333334,-6.299722222222222,296.5451904628967,56.395776974064965,-45.0,5085406508.876158,726.5894408505249,726.5894400000001,36,5087903705.879,136536510,13.488947464221864,10.81295757356418,71.0355603006864,-0.020593196153640747,5.49728536605835,296.4564514160156,275.30777087679826,107.02330552796485,185.6541748046875,1527.6905517578125,5087911817.0,5639
36,37,VAST_1302+00A,11144,0,11106,IMAGED,13 02 04,+00 00 00,195.51666666666665,0.0,308.7434694991255,62.75175270818758,-45.0,5085407275.278718,726.5894408505249,726.5894400000001,36,5087904069.105,136537547,14.379015445739316,11.185691213835252,76.7173170472021,-0.012609257362782955,1.354084849357605,303.9762878417969,290.6462955547185,80.47175147801256,204.38815307617188,788.9195556640625,5087911802.0,5257
37,38,VAST_1302-06A,11145,0,11106,IMAGED,13 02 04,-06 17 59,195.51666666666665,-6.299722222222222,307.7176251866311,56.473229698394206,-45.0,5085408041.681278,726.5894398968505,726.5894400000001,36,5087903783.924999,136500902,13.504442995335312,10.841697085426883,70.8496434018156,-0.044299256056547165,11.561624526977539,362.49755859375,353.6890148452715,152.00522342002606,190.57418823242188,3048.800537109375,5087911725.0,5578
38,39,VAST_1326+00A,11146,0,11106,IMAGED,13 26 54,+00 00 00,201.725,0.0,321.8163148638646,61.564677807083584,-45.0,5085408827.990398,716.636159447937,716.6361600000001,36,5087905066.276999,136551418,14.358894783293593,11.169668090120075,76.7154279690015,-0.014778428710997105,2.272120952606201,302.0303039550781,290.4013698515341,80.6799066317425,192.25714111328125,914.8925170898438,5087912754.0,5292
39,40,VAST_1326-06A,11147,0,11106,IMAGED,13 26 54,-06 17 59,201.725,-6.299722222222222,318.6182518222524,55.48828077217089,-45.0,5085409644.159358,726.5894398968505,726.5894400000001,36,5087905400.466,136525032,13.478235890604948,10.824381794695068,70.7212942568435,-0.01799561269581318,2.9029250144958496,271.8872375488281,258.54543880244046,81.62018075880209,179.473388671875,1287.881103515625,5087913163.0,5675
40,41,VAST_1351+00A,11148,0,11106,IMAGED,13 51 43,+00 00 00,207.92916666666662,0.0,333.49329163801286,59.24722589493008,-45.0,5085410420.515198,726.5894408505249,726.5894400000001,36,5087950681.379,136519624,14.35049167342068,11.167557726294325,76.3061061137729,-0.010962767526507378,3.1852545738220215,334.60821533203125,323.0345933479006,84.07238250116504,209.7622833251953,1183.8433837890625,5087958479.0,5150
41,42,VAST_1351-06A,11149,0,11106,IMAGED,13 51 43,-06 17 59,207.92916666666662,-6.299722222222222,328.70143998450914,53.52895868008928,-45.0,5085411186.917758,726.5894408505249,726.5894400000001,36,5087955367.096,136581995,13.473558160823268,10.819449339391584,70.5672913920895,-0.017297998070716858,2.683608055114746,269.3495178222656,253.95500303371801,93.05278143594758,179.7792510986328,1719.771240234375,5087963996.0,5628
42,43,VAST_1416+00A,11150,0,11106,IMAGED,14 16 33,+00 00 00,214.1375,0.0,343.43155547577857,56.02874621564675,-45.0,5085411973.226878,716.6361604016113,716.6361600000001,36,5087920079.161,136538350,14.332531499021412,11.15667747518922,76.2817535001976,-0.016625693067908287,2.907672882080078,291.7271728515625,274.59203258096113,91.97611349552159,196.37477111816406,1045.08740234375,5087929838.0,5338
43,44,VAST_1416-06A,11151,0,11106,IMAGED,14 16 33,-06 17 59,214.1375,-6.299722222222222,337.6797927213659,50.7393753204371,-45.0,5085412729.676158,726.5894408505249,726.5894400000001,36,5087920186.069,136534123,13.4629907908878,10.808356427551224,70.5659361381099,-0.01118575967848301,2.389399290084839,276.15374755859375,262.80163516704505,76.33107105923108,181.58538818359375,931.9323120117188,5087929910.0,5470
44,45,VAST_1441+00A,11152,0,11106,IMAGED,14 41 23,+00 00 00,220.3458333333333,0.0,351.6991005450829,52.14132156167339,-45.0,5085413506.031998,726.5894408505249,726.5894400000001,36,5087920453.1310005,136535018,14.320881383188103,11.150613512187624,76.0365323812198,-0.01987217739224434,3.2934722900390625,314.65447998046875,301.5185922261597,101.13009716843709,197.48855590820312,1511.012939453125,5087930158.0,5334
45,46,VAST_1441-06A,11153,0,11106,IMAGED,14 41 23,-06 17 59,220.3458333333333,-6.299722222222222,345.48386129273695,47.28393846004569,-45.0,5085414282.387838,726.5894398968505,726.5894400000001,36,5087920497.02,136544640,13.46357091202927,10.817996808703356,70.8288833200754,-0.01194009929895401,1.7612262964248657,265.9338073730469,252.85997104434878,77.35980039937283,180.58544921875,1049.5123291015625,5087930217.0,5579
46,47,VAST_1739-25A,11155,0,11106,IMAGED,17 39 37,-25 07 47,264.9041666666666,-25.129722222222224,2.535972355972589,3.1385279675634505,-45.0,5085423379.685759,716.636159447937,716.6361600000001,36,5087920534.329,136543127,12.810324409419529,10.659564706082651,69.2752974074092,-0.10902827978134155,1.8579816818237305,346.98992919921875,312.4916538413112,513.2223628227638,219.3580780029297,37829.40234375,5087930606.0,5160
47,48,VAST_1753-18A,11156,0,11106,IMAGED,17 53 27,-18 51 45,268.36249999999995,-18.8625,9.569533315351867,3.63536969512019,-45.0,5085424146.088319,726.5894398968505,726.5894400000001,36,5087920560.663,136524108,13.016763624695363,10.64871297114732,70.111305465615,-0.02127443253993988,2.770421028137207,345.4747619628906,325.4322318385093,128.83303179308376,220.41741943359375,1374.721435546875,5087930652.0,4814
48,49,VAST_1806-25A,11157,0,11106,IMAGED,18 06 48,-25 07 47,271.7,-25.129722222222224,5.662560386844779,-2.1603949649513488,-45.0,5085424922.444159,726.5894398968505,726.5894400000001,36,5087920589.205,136535962,12.834781294928725,10.673490861308629,69.4284989568991,-0.03283902630209923,3.158358573913574,407.2938232421875,385.0602714847384,535.371865205141,248.32290649414062,30771.4765625,5087930697.0,4644
49,50,VAST_1752-31A,11158,0,11106,IMAGED,17 52 56,-31 23 15,268.2333333333333,-31.3875,358.70968442203673,-2.61597901525095,-45.0,5085425698.799998,726.5894398968505,726.5894400000001,36,5087920623.896,136538301,12.589952522310648,10.648309893344532,66.5383876357078,-0.07872733473777771,2.169814348220825,380.3910827636719,326.7211058615131,1180.156455675111,110.81352996826172,50294.90234375,5087930738.0,4952
50,51,VAST_1724-31A,11160,0,11106,IMAGED,17 24 42,-31 23 15,261.17499999999995,-31.3875,355.49240032214743,2.4780838775001777,-45.0,5085428207.026558,726.5894398968505,726.5894400000001,36,5087920653.28,136546763,13.028148346249187,10.452213188106768,69.3691982641324,-0.06262099742889404,3.677656412124634,385.04266357421875,359.7103977283279,887.9215949765817,224.60696411132812,57174.42578125,5087930796.0,5034
